"Country or Area","Year","Value","Value Footnotes"
"Albania","2019","30.8","1"
"Albania","2018","30.1","1"
"Albania","2017","33.1","1"
"Albania","2016","33.7","1"
"Albania","2015","32.8","1"
"Albania","2014","34.6","1"
"Albania","2012","29","2"
"Albania","2008","30","2"
"Albania","2005","30.6","2"
"Albania","2002","31.7","2"
"Albania","1996","27","3"
"Algeria","2011","27.6","4"
"Algeria","1995","35.3","5"
"Algeria","1988","40.2","6"
"Angola","2018","51.3","7"
"Angola","2008","42.7","8"
"Angola","2000","52","1"
"Argentina","2020","42.3","9"
"Argentina","2019","42.9","9"
"Argentina","2018","41.3","9"
"Argentina","2017","41.1","9"
"Argentina","2016","42","9"
"Argentina","2014","41.6","9"
"Argentina","2013","40.9","9"
"Argentina","2012","41.3","9"
"Argentina","2011","42.6","9"
"Argentina","2010","43.6","9"
"Argentina","2009","43.7","9"
"Argentina","2008","44.9","9"
"Argentina","2007","46.2","9"
"Argentina","2006","46.3","9"
"Argentina","2005","47.7","9"
"Argentina","2004","48.4","9"
"Argentina","2003","50.9","9"
"Argentina","2002","53.8","10"
"Argentina","2001","53.3","10"
"Argentina","2000","51.1","10"
"Argentina","1999","49.8","10"
"Argentina","1998","50.7","10"
"Argentina","1997","49.1","10"
"Argentina","1996","49.5","10"
"Argentina","1995","48.9","10"
"Argentina","1994","45.9","10"
"Argentina","1993","44.9","10"
"Argentina","1992","45.5","10"
"Argentina","1991","46.8","10"
"Argentina","1987","45.3","10"
"Argentina","1986","42.8","10"
"Argentina","1980","40.8","11"
"Armenia","2020","25.2","12"
"Armenia","2019","29.9","12"
"Armenia","2018","34.4","12"
"Armenia","2017","33.6","12"
"Armenia","2016","32.5","12"
"Armenia","2015","32.4","12"
"Armenia","2014","31.5","12"
"Armenia","2013","30.6","12"
"Armenia","2012","29.6","12"
"Armenia","2011","29.4","12"
"Armenia","2010","30","12"
"Armenia","2009","28","12"
"Armenia","2008","29.2","12"
"Armenia","2007","31.2","12"
"Armenia","2006","29.7","12"
"Armenia","2005","36","12"
"Armenia","2004","37.5","12"
"Armenia","2003","33","12"
"Armenia","2002","34.8","12"
"Armenia","2001","35.4","12"
"Armenia","1999","36.2","12"
"Australia","2018","34.3","13"
"Australia","2016","33.7","13"
"Australia","2014","34.4","13"
"Australia","2010","34.7","14"
"Australia","2008","35.4","13"
"Australia","2004","33.1","14"
"Australia","2003","33.5","13"
"Australia","2001","33.5","13"
"Australia","1995","32.6","13"
"Australia","1989","33.2","13"
"Australia","1985","32.5","15"
"Australia","1981","31.3","16"
"Austria","2019","30.2","17"
"Austria","2018","30.8","17"
"Austria","2017","29.7","17"
"Austria","2016","30.8","17"
"Austria","2015","30.5","17"
"Austria","2014","30.5","17"
"Austria","2013","30.8","17"
"Austria","2012","30.5","17"
"Austria","2011","30.8","17"
"Austria","2010","30.3","17"
"Austria","2009","31.5","17"
"Austria","2008","30.4","17"
"Austria","2007","30.6","17"
"Austria","2006","29.6","17"
"Austria","2005","28.7","17"
"Austria","2004","29.8","17"
"Austria","2003","29.5","17"
"Austria","2000","28.8","18"
"Austria","1997","30.2","18"
"Austria","1995","31.1","19"
"Austria","1994","31.3","18"
"Austria","1987","23","19"
"Azerbaijan","2005","26.6","1"
"Azerbaijan","2004","26.6","1"
"Azerbaijan","2003","26.8","1"
"Azerbaijan","2002","25.3","1"
"Azerbaijan","2001","36.5","1"
"Azerbaijan","1995","34.7","20"
"Bangladesh","2016","32.4","21"
"Bangladesh","2010","32.1","21"
"Bangladesh","2005","33.2","21"
"Bangladesh","2000","33.4","21"
"Bangladesh","1995","32.9","22"
"Bangladesh","1991","27.6","22"
"Bangladesh","1988","28.8","23"
"Bangladesh","1985","26.9","23"
"Bangladesh","1983","25.9","23"
"Belarus","2020","24.4","24"
"Belarus","2019","25.3","24"
"Belarus","2018","25.2","24"
"Belarus","2017","25.4","24"
"Belarus","2016","25.3","24"
"Belarus","2015","25.6","24"
"Belarus","2014","27.2","24"
"Belarus","2013","26.6","24"
"Belarus","2012","26.5","24"
"Belarus","2011","27.2","24"
"Belarus","2010","28.6","24"
"Belarus","2009","27.7","24"
"Belarus","2008","27.8","24"
"Belarus","2007","29.6","24"
"Belarus","2006","28.3","24"
"Belarus","2005","27.6","24"
"Belarus","2004","26.5","24"
"Belarus","2003","28.8","24"
"Belarus","2002","30.3","24"
"Belarus","2001","30.6","24"
"Belarus","2000","31.2","24"
"Belarus","1999","31.7","24"
"Belarus","1998","32","24"
"Belgium","2019","27.2","17"
"Belgium","2018","27.2","17"
"Belgium","2017","27.4","17"
"Belgium","2016","27.6","17"
"Belgium","2015","27.7","17"
"Belgium","2014","28.1","17"
"Belgium","2013","27.7","17"
"Belgium","2012","27.5","17"
"Belgium","2011","28.1","17"
"Belgium","2010","28.4","17"
"Belgium","2009","28.6","17"
"Belgium","2008","28.4","17"
"Belgium","2007","29.2","17"
"Belgium","2006","28.1","17"
"Belgium","2005","29.3","17"
"Belgium","2004","30.5","17"
"Belgium","2003","28.1","17"
"Belgium","2000","33.1","25"
"Belgium","1997","26.8","26"
"Belgium","1995","28.4","25"
"Belgium","1992","25","26"
"Belgium","1988","25.7","26"
"Belgium","1985","25.2","26"
"Belize","1999","53.3","27"
"Belize","1998","54.9","27"
"Belize","1997","60.4","27"
"Belize","1996","56.6","28"
"Belize","1994","60.9","27"
"Belize","1993","60.3","27"
"Benin","2018","37.8","29"
"Benin","2015","47.8","30"
"Benin","2011","43.4","30"
"Benin","2003","38.6","31"
"Bhutan","2017","37.4","32"
"Bhutan","2012","38.8","32"
"Bhutan","2007","38.1","32"
"Bhutan","2003","40.9","32"
"Bolivia","2020","43.6","33"
"Bolivia","2019","41.6","33"
"Bolivia","2018","42.6","33"
"Bolivia","2017","44.6","33"
"Bolivia","2016","45.3","33"
"Bolivia","2015","46.7","33"
"Bolivia","2014","47.8","33"
"Bolivia","2013","47.6","33"
"Bolivia","2012","46.6","33"
"Bolivia","2011","46.1","33"
"Bolivia","2009","49.2","33"
"Bolivia","2008","50.8","33"
"Bolivia","2007","54.5","33"
"Bolivia","2006","56.7","33"
"Bolivia","2005","58.5","33"
"Bolivia","2004","55","34"
"Bolivia","2002","59.3","33"
"Bolivia","2001","57.4","33"
"Bolivia","2000","61.6","34"
"Bolivia","1999","58.1","34"
"Bolivia","1997","58.2","35"
"Bosnia and Herzegovina","2011","33","1"
"Bosnia and Herzegovina","2007","33.1","1"
"Bosnia and Herzegovina","2004","34","2"
"Bosnia and Herzegovina","2001","30","2"
"Botswana","2015","53.3","36"
"Botswana","2009","60.5","37"
"Botswana","2002","64.7","21"
"Botswana","1993","60.8","38"
"Botswana","1985","54.2","38"
"Brazil","2020","48.9","39"
"Brazil","2019","53.5","40"
"Brazil","2018","53.9","40"
"Brazil","2017","53.3","40"
"Brazil","2016","53.3","40"
"Brazil","2015","51.9","40"
"Brazil","2014","52","40"
"Brazil","2013","52.7","40"
"Brazil","2012","53.4","40"
"Brazil","2011","52.9","41"
"Brazil","2009","53.7","41"
"Brazil","2008","54","41"
"Brazil","2007","54.9","41"
"Brazil","2006","55.6","41"
"Brazil","2005","56.3","41"
"Brazil","2004","56.5","41"
"Brazil","2003","57.6","41"
"Brazil","2002","58.1","41"
"Brazil","2001","58.4","41"
"Brazil","1999","59","41"
"Brazil","1998","59.6","41"
"Brazil","1997","59.8","41"
"Brazil","1996","59.9","41"
"Brazil","1995","59.6","41"
"Brazil","1993","60.1","41"
"Brazil","1992","53.2","41"
"Brazil","1990","60.5","41"
"Brazil","1989","63.3","41"
"Brazil","1988","61.4","41"
"Brazil","1987","59.7","41"
"Brazil","1986","58.5","41"
"Brazil","1985","55.6","41"
"Brazil","1984","58.4","41"
"Brazil","1983","59","41"
"Brazil","1982","58.4","41"
"Brazil","1981","57.9","41"
"Bulgaria","2019","40.3","17"
"Bulgaria","2018","41.3","17"
"Bulgaria","2017","40.4","17"
"Bulgaria","2016","40.6","17"
"Bulgaria","2015","38.6","17"
"Bulgaria","2014","37.4","17"
"Bulgaria","2013","36.6","17"
"Bulgaria","2012","36","17"
"Bulgaria","2011","34.3","17"
"Bulgaria","2010","35.7","17"
"Bulgaria","2009","33.8","17"
"Bulgaria","2008","33.6","17"
"Bulgaria","2007","36.1","17"
"Bulgaria","2006","35.7","17"
"Burkina Faso","2018","47.3","29"
"Burkina Faso","2014","35.3","42"
"Burkina Faso","2009","39.8","43"
"Burkina Faso","2003","43.3","43"
"Burkina Faso","1998","49.9","44"
"Burkina Faso","1994","48.1","45"
"Burundi","2013","38.6","46"
"Burundi","2006","33.4","31"
"Burundi","1998","42.3","47"
"Burundi","1992","33.3","6"
"CÃ´te d'Ivoire","2018","37.2","29"
"CÃ´te d'Ivoire","2015","41.5","48"
"CÃ´te d'Ivoire","2008","43.2","48"
"CÃ´te d'Ivoire","2002","41.3","48"
"CÃ´te d'Ivoire","1998","39","48"
"CÃ´te d'Ivoire","1995","40.6","48"
"CÃ´te d'Ivoire","1992","39.4","47"
"CÃ´te d'Ivoire","1988","36.9","49"
"CÃ´te d'Ivoire","1987","40.5","49"
"CÃ´te d'Ivoire","1986","38","49"
"CÃ´te d'Ivoire","1985","45.5","49"
"Cabo Verde","2015","42.4","50"
"Cabo Verde","2007","47.2","31"
"Cabo Verde","2001","52.5","50"
"Cameroon","2014","46.6","51"
"Cameroon","2007","42.8","52"
"Cameroon","2001","42.1","53"
"Cameroon","1996","44.4","54"
"Canada","2017","33.3","55"
"Canada","2016","32.7","55"
"Canada","2015","33.7","55"
"Canada","2014","33.2","55"
"Canada","2013","33.8","55"
"Canada","2012","33.5","55"
"Canada","2010","33.6","56"
"Canada","2007","33.8","56"
"Canada","2004","33.7","56"
"Canada","2000","33.3","56"
"Canada","1998","33.2","56"
"Canada","1997","31.6","57"
"Canada","1994","31.3","57"
"Canada","1991","31","57"
"Canada","1987","31.5","57"
"Canada","1981","32.4","57"
"Canada","1975","33.3","57"
"Canada","1971","37.3","57"
"Central African Republic","2008","56.2","58"
"Central African Republic","1992","61.3","59"
"Chad","2018","37.5","29"
"Chad","2011","43.3","60"
"Chad","2003","39.8","61"
"Chile","2020","44.9","62"
"Chile","2017","44.4","62"
"Chile","2015","44.4","62"
"Chile","2013","45.8","62"
"Chile","2011","46","62"
"Chile","2009","47","62"
"Chile","2006","47.3","62"
"Chile","2003","51.5","62"
"Chile","2000","52.8","62"
"Chile","1998","55.5","62"
"Chile","1996","54.9","62"
"Chile","1994","56.4","62"
"Chile","1992","54.8","62"
"Chile","1990","57.2","62"
"Chile","1987","56.2","62"
"China","2019","38.2","63"
"China","2018","38.5","63"
"China","2017","39.1","63"
"China","2016","38.5","63"
"China","2015","38.6","63"
"China","2014","39.2","63"
"China","2013","39.7","63"
"China","2012","42.2","63"
"China","2011","42.4","64"
"China","2010","43.7","64"
"China","2008","43","64"
"China","2005","40.9","64"
"China","2002","42","64"
"China","1999","38.7","64"
"China","1996","35.2","64"
"China","1993","33.9","64"
"China","1990","32.2","64"
"Colombia","2020","54.2","65"
"Colombia","2019","51.3","65"
"Colombia","2018","50.4","65"
"Colombia","2017","49.7","65"
"Colombia","2016","50.6","65"
"Colombia","2015","51","65"
"Colombia","2014","52.6","65"
"Colombia","2013","52.6","65"
"Colombia","2012","52.6","65"
"Colombia","2011","53.5","65"
"Colombia","2010","54.6","65"
"Colombia","2009","54.3","65"
"Colombia","2008","55.3","65"
"Colombia","2005","53.9","34"
"Colombia","2004","55","34"
"Colombia","2003","53.6","34"
"Colombia","2002","56","34"
"Colombia","2001","57.5","34"
"Colombia","2000","58.7","66"
"Colombia","1999","58.7","66"
"Colombia","1996","56.9","66"
"Colombia","1992","51.5","66"
"Comoros","2014","45.3","67"
"Comoros","2004","55.9","68"
"Congo","2011","48.9","69"
"Congo","2005","47.3","69"
"Costa Rica","2020","49.3","70"
"Costa Rica","2019","48.2","70"
"Costa Rica","2018","48","70"
"Costa Rica","2017","48.3","70"
"Costa Rica","2016","48.7","70"
"Costa Rica","2015","48.4","70"
"Costa Rica","2014","48.6","70"
"Costa Rica","2013","49.2","70"
"Costa Rica","2012","48.4","70"
"Costa Rica","2011","48.8","70"
"Costa Rica","2010","48","70"
"Costa Rica","2009","50.6","71"
"Costa Rica","2008","48.6","71"
"Costa Rica","2007","49.3","71"
"Costa Rica","2006","49.3","71"
"Costa Rica","2005","47.5","71"
"Costa Rica","2004","48.4","71"
"Costa Rica","2003","49.3","71"
"Costa Rica","2002","51.8","71"
"Costa Rica","2001","51.5","71"
"Costa Rica","2000","47.4","71"
"Costa Rica","1999","47.7","71"
"Costa Rica","1998","45.7","71"
"Costa Rica","1997","45.6","71"
"Costa Rica","1996","46.5","71"
"Costa Rica","1995","45.7","71"
"Costa Rica","1994","46.8","71"
"Costa Rica","1993","46","71"
"Costa Rica","1992","45.7","71"
"Costa Rica","1991","46.6","71"
"Costa Rica","1990","45.3","71"
"Costa Rica","1989","45.6","71"
"Costa Rica","1986","34.4","72"
"Costa Rica","1981","47.5","72"
"Croatia","2019","28.9","17"
"Croatia","2018","29.7","17"
"Croatia","2017","30.4","17"
"Croatia","2016","30.9","17"
"Croatia","2015","31.1","17"
"Croatia","2014","32.1","17"
"Croatia","2013","32","17"
"Croatia","2012","32.5","17"
"Croatia","2011","32.3","17"
"Croatia","2010","32.4","17"
"Croatia","2009","32.6","17"
"Cyprus","2019","31.2","17"
"Cyprus","2018","32.7","17"
"Cyprus","2017","31.4","17"
"Cyprus","2016","32.9","17"
"Cyprus","2015","34","17"
"Cyprus","2014","35.6","17"
"Cyprus","2013","37","17"
"Cyprus","2012","34.3","17"
"Cyprus","2011","32.6","17"
"Cyprus","2010","31.5","17"
"Cyprus","2009","32.1","17"
"Cyprus","2008","31.7","17"
"Cyprus","2007","31.1","17"
"Cyprus","2006","31.1","17"
"Cyprus","2005","30.3","17"
"Cyprus","2004","30.1","17"
"Czech Republic","2019","25.3","17"
"Czech Republic","2018","25","17"
"Czech Republic","2017","24.9","17"
"Czech Republic","2016","25.4","17"
"Czech Republic","2015","25.9","17"
"Czech Republic","2014","25.9","17"
"Czech Republic","2013","26.5","17"
"Czech Republic","2012","26.1","17"
"Czech Republic","2011","26.4","17"
"Czech Republic","2010","26.6","17"
"Czech Republic","2009","26.2","17"
"Czech Republic","2008","26.3","17"
"Czech Republic","2007","26","17"
"Czech Republic","2006","26.7","17"
"Czech Republic","2005","26.9","17"
"Czech Republic","2004","27.5","17"
"Czech Republic","2002","26.6","19"
"Czech Republic","1996","25.8","19"
"Czech Republic","1993","26.6","73"
"Czech Republic","1992","20.7","19"
"Dem. Rep. Congo","2012","42.1","74"
"Dem. Rep. Congo","2004","42.2","74"
"Denmark","2019","27.7","17"
"Denmark","2018","28.2","17"
"Denmark","2017","28.7","17"
"Denmark","2016","28.2","17"
"Denmark","2015","28.2","17"
"Denmark","2014","28.4","17"
"Denmark","2013","28.5","17"
"Denmark","2012","27.8","17"
"Denmark","2011","27.3","17"
"Denmark","2010","27.2","17"
"Denmark","2009","26.7","17"
"Denmark","2008","25.2","17"
"Denmark","2007","26.2","17"
"Denmark","2006","25.9","17"
"Denmark","2005","25.2","17"
"Denmark","2004","24.9","17"
"Denmark","2003","25.6","17"
"Denmark","2000","23.8","75"
"Denmark","1995","23","75"
"Denmark","1992","24.7","75"
"Denmark","1987","26.2","75"
"Djibouti","2017","41.6","76"
"Djibouti","2013","44.1","76"
"Djibouti","2012","45.1","76"
"Djibouti","2002","40","76"
"Dominican Republic","2020","39.6","77"
"Dominican Republic","2019","41.9","77"
"Dominican Republic","2018","43.7","77"
"Dominican Republic","2017","42.2","77"
"Dominican Republic","2016","45.7","78"
"Dominican Republic","2015","45.2","78"
"Dominican Republic","2014","44.3","78"
"Dominican Republic","2013","47.7","78"
"Dominican Republic","2012","46.1","78"
"Dominican Republic","2011","47.7","78"
"Dominican Republic","2010","47.3","78"
"Dominican Republic","2009","48.9","78"
"Dominican Republic","2008","48.1","78"
"Dominican Republic","2007","48.9","78"
"Dominican Republic","2006","52","78"
"Dominican Republic","2005","50","78"
"Dominican Republic","2004","52.1","78"
"Dominican Republic","2003","52.1","78"
"Dominican Republic","2002","49.7","78"
"Dominican Republic","2001","50","78"
"Dominican Republic","2000","51.5","78"
"Dominican Republic","1997","48.9","78"
"Dominican Republic","1996","47.4","78"
"Dominican Republic","1992","51.4","79"
"Dominican Republic","1989","50.5","80"
"Dominican Republic","1986","47.8","80"
"Ecuador","2020","47.3","81"
"Ecuador","2019","45.7","81"
"Ecuador","2018","45.4","81"
"Ecuador","2017","44.7","81"
"Ecuador","2016","45","81"
"Ecuador","2015","46","81"
"Ecuador","2014","45","81"
"Ecuador","2013","46.9","81"
"Ecuador","2012","46.1","81"
"Ecuador","2011","45.9","81"
"Ecuador","2010","48.8","81"
"Ecuador","2009","48.5","81"
"Ecuador","2008","49.8","81"
"Ecuador","2007","53.4","81"
"Ecuador","2006","52.3","81"
"Ecuador","2005","53.1","81"
"Ecuador","2004","53.9","81"
"Ecuador","2003","53.5","81"
"Ecuador","2000","56.4","82"
"Ecuador","1999","58.6","83"
"Ecuador","1994","53.4","83"
"Egypt","2017","31.5","84"
"Egypt","2015","31.8","84"
"Egypt","2012","28.3","84"
"Egypt","2010","30.2","84"
"Egypt","2008","31.1","84"
"Egypt","2004","31.8","84"
"Egypt","1999","32.8","85"
"Egypt","1995","30.1","85"
"Egypt","1990","32","85"
"El Salvador","2019","38.8","71"
"El Salvador","2018","38.6","71"
"El Salvador","2017","38","71"
"El Salvador","2016","40","71"
"El Salvador","2015","40.6","71"
"El Salvador","2014","41.6","71"
"El Salvador","2013","43.4","71"
"El Salvador","2012","41.8","71"
"El Salvador","2011","42.3","71"
"El Salvador","2010","43.5","71"
"El Salvador","2009","45.8","71"
"El Salvador","2008","46.9","71"
"El Salvador","2007","45.2","71"
"El Salvador","2006","45.7","71"
"El Salvador","2005","48.5","71"
"El Salvador","2004","47.8","71"
"El Salvador","2003","50.5","71"
"El Salvador","2002","51.9","71"
"El Salvador","2001","51.4","71"
"El Salvador","2000","51.5","71"
"El Salvador","1999","52.2","71"
"El Salvador","1998","54.5","71"
"El Salvador","1996","51","71"
"El Salvador","1995","49.9","71"
"El Salvador","1991","54","71"
"Estonia","2019","30.8","17"
"Estonia","2018","30.3","17"
"Estonia","2017","30.4","17"
"Estonia","2016","31.2","17"
"Estonia","2015","32.7","17"
"Estonia","2014","34.6","17"
"Estonia","2013","35.1","17"
"Estonia","2012","32.9","17"
"Estonia","2011","32.5","17"
"Estonia","2010","32","17"
"Estonia","2009","31.4","17"
"Estonia","2008","31.9","17"
"Estonia","2007","31.2","17"
"Estonia","2006","33.7","17"
"Estonia","2005","33.4","17"
"Estonia","2004","33.6","17"
"Estonia","2003","37.2","17"
"Eswatini","2016","54.6","21"
"Eswatini","2009","51.5","21"
"Eswatini","2000","53.1","21"
"Eswatini","1994","60.5","38"
"Ethiopia","2015","35","86"
"Ethiopia","2010","33.2","86"
"Ethiopia","2004","29.8","86"
"Ethiopia","1999","30","86"
"Ethiopia","1995","44.6","86"
"Fiji","2019","30.7","21"
"Fiji","2013","36.7","21"
"Fiji","2008","40.4","21"
"Fiji","2002","38.1","21"
"Finland","2019","27.7","17"
"Finland","2018","27.3","17"
"Finland","2017","27.4","17"
"Finland","2016","27.1","17"
"Finland","2015","27.1","17"
"Finland","2014","26.8","17"
"Finland","2013","27.2","17"
"Finland","2012","27.1","17"
"Finland","2011","27.6","17"
"Finland","2010","27.7","17"
"Finland","2009","27.5","17"
"Finland","2008","27.8","17"
"Finland","2007","28.3","17"
"Finland","2006","28","17"
"Finland","2005","27.6","17"
"Finland","2004","27.9","17"
"Finland","2003","27.7","17"
"Finland","2000","27.2","15"
"Finland","1995","23.5","15"
"Finland","1991","22.9","15"
"Finland","1987","22.2","15"
"France","2018","32.4","17"
"France","2017","31.6","17"
"France","2016","31.9","17"
"France","2015","32.7","17"
"France","2014","32.3","17"
"France","2013","32.5","17"
"France","2012","33.1","17"
"France","2011","33.3","17"
"France","2010","33.7","17"
"France","2009","32.7","17"
"France","2008","33","17"
"France","2007","32.4","17"
"France","2006","29.7","17"
"France","2005","29.8","17"
"France","2004","30.6","17"
"France","2003","31.4","17"
"France","2000","31.1","87"
"France","1994","32.3","87"
"France","1989","32.2","87"
"France","1984","36.9","87"
"France","1978","35.2","87"
"Gabon","2017","38","88"
"Gabon","2005","42.2","88"
"Georgia","2020","34.5","89"
"Georgia","2019","35.9","89"
"Georgia","2018","36.4","89"
"Georgia","2017","37.9","89"
"Georgia","2016","36.6","89"
"Georgia","2015","36.5","89"
"Georgia","2014","37.6","89"
"Georgia","2013","38.6","89"
"Georgia","2012","39","89"
"Georgia","2011","39.6","89"
"Georgia","2010","39.5","89"
"Georgia","2009","38.2","89"
"Georgia","2008","38.5","89"
"Georgia","2007","38.1","89"
"Georgia","2006","36.9","89"
"Georgia","2005","37.4","89"
"Georgia","2004","36.2","89"
"Georgia","2003","36.7","89"
"Georgia","2002","37.2","89"
"Georgia","2001","39.6","89"
"Georgia","2000","40.5","89"
"Georgia","1999","40.1","89"
"Georgia","1998","41.3","89"
"Georgia","1997","40.7","89"
"Georgia","1996","37.1","90"
"Germany","2018","31.7","91"
"Germany","2017","31.2","91"
"Germany","2016","31.6","91"
"Germany","2015","31.6","91"
"Germany","2014","30.9","91"
"Germany","2013","31.5","91"
"Germany","2012","31.1","91"
"Germany","2011","30.8","91"
"Germany","2010","30.3","91"
"Germany","2009","30.5","91"
"Germany","2008","30.9","91"
"Germany","2007","31.4","91"
"Germany","2006","31.2","91"
"Germany","2005","31.8","91"
"Germany","2004","30.3","91"
"Germany","2003","30.1","91"
"Germany","2002","29.9","91"
"Germany","2001","30.1","91"
"Germany","2000","28.9","91"
"Germany","1999","29.1","91"
"Germany","1998","28.3","91"
"Germany","1997","28.3","91"
"Germany","1996","28.4","91"
"Germany","1995","29","91"
"Germany","1994","29.2","91"
"Germany","1993","28.7","91"
"Germany","1992","29.2","91"
"Germany","1991","29.4","91"
"Ghana","2016","43.5","92"
"Ghana","2012","42.4","93"
"Ghana","2005","42.8","94"
"Ghana","1998","40.1","95"
"Ghana","1991","38.4","96"
"Ghana","1988","36","97"
"Ghana","1987","35.3","98"
"Greece","2019","33.1","17"
"Greece","2018","32.9","17"
"Greece","2017","34.4","17"
"Greece","2016","35","17"
"Greece","2015","36","17"
"Greece","2014","35.8","17"
"Greece","2013","36.1","17"
"Greece","2012","36.3","17"
"Greece","2011","34.8","17"
"Greece","2010","34.1","17"
"Greece","2009","33.6","17"
"Greece","2008","33.6","17"
"Greece","2007","34","17"
"Greece","2006","35.1","17"
"Greece","2005","34.6","17"
"Greece","2004","33.6","17"
"Greece","2003","32.8","17"
"Greece","2000","34.2","18"
"Greece","1995","37","18"
"Guatemala","2014","48.3","99"
"Guatemala","2006","54.6","99"
"Guatemala","2000","54.2","99"
"Guatemala","1989","59.6","100"
"Guatemala","1986","58.3","100"
"Guinea","2018","29.6","101"
"Guinea","2012","33.7","102"
"Guinea","2007","39.4","102"
"Guinea","2002","43","103"
"Guinea","1994","46.1","104"
"Guinea","1991","46.8","105"
"Guinea-Bissau","2018","34.8","29"
"Guinea-Bissau","2010","50.7","106"
"Guinea-Bissau","2002","35.6","107"
"Guinea-Bissau","1993","43.6","108"
"Guyana","1998","45.1","109"
"Haiti","2012","41.1","110"
"Honduras","2019","48.2","111"
"Honduras","2018","48.9","111"
"Honduras","2017","49.4","111"
"Honduras","2016","49.8","111"
"Honduras","2015","49.2","111"
"Honduras","2014","49.9","111"
"Honduras","2013","50","111"
"Honduras","2012","53.4","111"
"Honduras","2011","52.6","111"
"Honduras","2010","53.1","111"
"Honduras","2009","51.3","111"
"Honduras","2008","55.5","111"
"Honduras","2007","55.8","111"
"Honduras","2006","57.5","111"
"Honduras","2005","59.5","111"
"Honduras","2004","58.1","111"
"Honduras","2003","58.1","111"
"Honduras","2002","55.7","111"
"Honduras","2001","55.4","111"
"Honduras","1999","55.4","111"
"Honduras","1998","57.4","111"
"Honduras","1997","52.7","111"
"Honduras","1996","55.7","111"
"Honduras","1995","55.5","111"
"Honduras","1994","55","111"
"Honduras","1993","53.5","111"
"Honduras","1992","51.8","111"
"Honduras","1991","51.9","111"
"Honduras","1990","57.4","112"
"Honduras","1989","59.5","112"
"Hungary","2019","30","17"
"Hungary","2018","29.6","17"
"Hungary","2017","30.6","17"
"Hungary","2016","30.3","17"
"Hungary","2015","30.4","17"
"Hungary","2014","30.9","17"
"Hungary","2013","31.5","17"
"Hungary","2012","30.8","17"
"Hungary","2011","29.2","17"
"Hungary","2010","29.4","17"
"Hungary","2009","27","17"
"Hungary","2008","27.5","17"
"Hungary","2007","27.9","17"
"Hungary","2006","28.3","17"
"Hungary","2005","34.7","17"
"Hungary","2004","29.9","17"
"Iceland","2017","26.1","17"
"Iceland","2016","27.2","17"
"Iceland","2015","26.8","17"
"Iceland","2014","27.8","17"
"Iceland","2013","25.4","17"
"Iceland","2012","26.8","17"
"Iceland","2011","26.8","17"
"Iceland","2010","26.2","17"
"Iceland","2009","28.7","17"
"Iceland","2008","31.8","17"
"Iceland","2007","29.5","17"
"Iceland","2006","30.2","17"
"Iceland","2005","29","17"
"Iceland","2004","28","17"
"Iceland","2003","26.8","17"
"India","2019","35.7","113"
"India","2018","34.6","113"
"India","2017","35.9","113"
"India","2016","34.8","113"
"India","2015","34.7","113"
"India","2011","35.7","114"
"India","2009","35.4","114"
"India","2004","34.4","114"
"India","1993","31.7","114"
"India","1987","32.6","115"
"India","1983","32.1","116"
"India","1977","33.3","116"
"Indonesia","2020","37.6","117"
"Indonesia","2019","37.6","117"
"Indonesia","2018","38.4","117"
"Indonesia","2017","38.8","117"
"Indonesia","2016","39.3","117"
"Indonesia","2015","40.4","117"
"Indonesia","2014","40.2","117"
"Indonesia","2013","40.8","117"
"Indonesia","2012","40.5","117"
"Indonesia","2011","40.5","117"
"Indonesia","2010","37.2","117"
"Indonesia","2009","36","117"
"Indonesia","2008","36.1","117"
"Indonesia","2007","36.7","117"
"Indonesia","2006","35.3","117"
"Indonesia","2005","34.1","117"
"Indonesia","2004","33.9","117"
"Indonesia","2003","33","117"
"Indonesia","2002","32.8","117"
"Indonesia","2001","30","117"
"Indonesia","2000","29.5","117"
"Indonesia","1999","32.1","117"
"Indonesia","1998","32.2","117"
"Indonesia","1996","35.6","117"
"Indonesia","1993","33.2","117"
"Indonesia","1990","32.3","118"
"Indonesia","1987","31.4","118"
"Indonesia","1984","33.5","118"
"Iran","2019","40.9","119"
"Iran","2018","42","119"
"Iran","2017","40.8","119"
"Iran","2016","40","119"
"Iran","2015","39.5","119"
"Iran","2014","38.8","119"
"Iran","2013","37.4","119"
"Iran","2009","42.1","119"
"Iran","2006","44.8","119"
"Iran","2005","43.6","119"
"Iran","1998","44.1","120"
"Iran","1994","43","120"
"Iran","1990","43.6","120"
"Iran","1986","47.4","120"
"Iraq","2012","29.5","121"
"Iraq","2006","28.6","121"
"Ireland","2018","30.6","17"
"Ireland","2017","31.4","17"
"Ireland","2016","32.8","17"
"Ireland","2015","31.8","17"
"Ireland","2014","31.9","17"
