"","country","code","year","gender_wage_gap"
"1","Argentina","ARG","1997",0
"2","Argentina","ARG","1998",6.82
"3","Argentina","ARG","1999",2.44
"4","Argentina","ARG","2000",0
"5","Argentina","ARG","2001",2.5
"6","Argentina","ARG","2002",12.2
"7","Argentina","ARG","2003",-4.55
"8","Argentina","ARG","2004",2.08
"9","Argentina","ARG","2005",-1.72
"10","Argentina","ARG","2006",8
"11","Argentina","ARG","2007",6.67
"12","Argentina","ARG","2008",2.68
"13","Argentina","ARG","2009",1.52
"14","Argentina","ARG","2010",-0.61
"15","Argentina","ARG","2011",0
"16","Argentina","ARG","2012",-1.9
"17","Argentina","ARG","2013",1.45
"18","Argentina","ARG","2014",-3.62
"19","Austria","AUT","2002",26.4
"20","Austria","AUT","2006",25.44
"21","Austria","AUT","2010",23.95
"22","Austria","AUT","2014",22.22
"23","Belgium","BEL","2002",17.13
"24","Belgium","BEL","2006",7.01
"25","Belgium","BEL","2010",10.2
"26","Belgium","BEL","2014",6.54
"27","Belize","BLZ","1997",0.5
"28","Belize","BLZ","1998",-3.26
"29","Belize","BLZ","1999",-9.35
"30","Belize","BLZ","2016",-20.03
"31","Bolivia","BOL","1999",12.7
"32","Bolivia","BOL","2000",11.11
"33","Bolivia","BOL","2001",19.7
"34","Bolivia","BOL","2002",7.94
"35","Bolivia","BOL","2005",12.66
"36","Bolivia","BOL","2006",26.53
"37","Bolivia","BOL","2007",17.05
"38","Bolivia","BOL","2008",19.27
"39","Bolivia","BOL","2009",9.01
"40","Bolivia","BOL","2011",10.22
"41","Bolivia","BOL","2012",10.81
"42","Bolivia","BOL","2013",12.14
"43","Bolivia","BOL","2014",6.18
"44","Brazil","BRA","1997",20
"45","Brazil","BRA","1998",17.14
"46","Brazil","BRA","1999",17.14
"47","Brazil","BRA","2001",17.5
"48","Brazil","BRA","2002",14.29
"49","Brazil","BRA","2003",16.67
"50","Brazil","BRA","2004",17.65
"51","Brazil","BRA","2005",14.55
"52","Brazil","BRA","2006",14.75
"53","Brazil","BRA","2007",14.71
"54","Brazil","BRA","2008",15.49
"55","Brazil","BRA","2009",14.29
"56","Brazil","BRA","2011",18.02
"57","Brazil","BRA","2012",16.39
"58","Brazil","BRA","2013",16.89
"59","Brazil","BRA","2014",15.97
"60","Brunei","BRN","2014",2.74
"61","Bulgaria","BGR","2014",12.66
"62","Chile","CHL","1998",18.75
"63","Chile","CHL","2000",25.9
"64","Chile","CHL","2003",20.5
"65","Chile","CHL","2006",14.41
"66","Chile","CHL","2009",23.97
"67","Chile","CHL","2011",16.15
"68","Chile","CHL","2013",20.55
"69","Colombia","COL","2008",0.76
"70","Colombia","COL","2009",0.71
"71","Colombia","COL","2010",3.92
"72","Colombia","COL","2011",-2.08
"73","Colombia","COL","2012",4.87
"74","Colombia","COL","2013",0.63
"75","Colombia","COL","2014",2.99
"76","Colombia","COL","2015",0.34
"77","Costa Rica","CRI","1997",-2.15
"78","Costa Rica","CRI","1998",-2.38
"79","Costa Rica","CRI","1999",-1.32
"80","Costa Rica","CRI","2000",-1.31
"81","Costa Rica","CRI","2001",0.62
"82","Costa Rica","CRI","2002",-7.69
"83","Costa Rica","CRI","2003",-4.06
"84","Costa Rica","CRI","2004",-2.41
"85","Costa Rica","CRI","2005",5.49
"86","Costa Rica","CRI","2006",4.4
"87","Costa Rica","CRI","2007",10
"88","Costa Rica","CRI","2008",5.86
"89","Costa Rica","CRI","2009",-0.15
"90","Cyprus","CYP","2010",16.84
"91","Cyprus","CYP","2014",14.15
"92","Czechia","CZE","2012",21.25
"93","Czechia","CZE","2013",20.91
"94","Czechia","CZE","2014",21.16
"95","Czechia","CZE","2015",21.12
"96","Czechia","CZE","2016",20.61
"97","Denmark","DNK","2014",15.96
"98","Dominican Republic","DOM","1997",7.75
"99","Dominican Republic","DOM","2000",10.06
"100","Dominican Republic","DOM","2001",7.85
"101","Dominican Republic","DOM","2002",3.27
"102","Dominican Republic","DOM","2003",9.18
"103","Dominican Republic","DOM","2004",11.09
"104","Dominican Republic","DOM","2005",5.04
"105","Dominican Republic","DOM","2006",8.77
"106","Dominican Republic","DOM","2007",12.06
"107","Dominican Republic","DOM","2008",5.42
"108","Dominican Republic","DOM","2009",6.33
"109","Dominican Republic","DOM","2010",1.7
"110","Dominican Republic","DOM","2011",11.78
"111","Dominican Republic","DOM","2012",7.55
"112","Dominican Republic","DOM","2013",3.17
"113","Dominican Republic","DOM","2014",8.25
"114","Dominican Republic","DOM","2015",7.38
"115","Ecuador","ECU","2003",6.25
"116","Ecuador","ECU","2004",11.11
"117","Ecuador","ECU","2005",11.76
"118","Ecuador","ECU","2006",5.56
"119","Ecuador","ECU","2007",15
"120","Ecuador","ECU","2008",15
"121","Ecuador","ECU","2009",10
"122","Ecuador","ECU","2010",4.55
"123","Ecuador","ECU","2011",12.5
"124","Ecuador","ECU","2012",7.69
"125","Ecuador","ECU","2013",10.34
"126","Ecuador","ECU","2014",12.9
"127","Ecuador","ECU","2016",-2.8
"128","El Salvador","SLV","2000",8.15
"129","El Salvador","SLV","2001",9.09
"130","El Salvador","SLV","2002",19.33
"131","El Salvador","SLV","2004",0
"132","El Salvador","SLV","2005",5.88
"133","El Salvador","SLV","2006",-6.25
"134","El Salvador","SLV","2007",5.56
"135","El Salvador","SLV","2008",5.56
"136","El Salvador","SLV","2009",0
"137","El Salvador","SLV","2010",0
"138","El Salvador","SLV","2011",0
"139","El Salvador","SLV","2012",0
"140","El Salvador","SLV","2013",-5.26
"141","El Salvador","SLV","2014",-5.26
"142","Estonia","EST","2014",28.16
"143","Finland","FIN","2002",18.04
"144","Finland","FIN","2006",21.25
"145","Finland","FIN","2010",20.29
"146","Finland","FIN","2013",17.63
"147","Finland","FIN","2014",16.93
"148","Finland","FIN","2016",16.34
"149","France","FRA","2002",16.59
"150","France","FRA","2006",15.47
"151","France","FRA","2010",15.62
"152","France","FRA","2014",15.5
"153","Germany","DEU","2002",25.61
"154","Germany","DEU","2006",22.62
"155","Germany","DEU","2010",22.28
"156","Germany","DEU","2014",22.29
"157","Greece","GRC","2002",25.47
"158","Greece","GRC","2006",20.69
"159","Greece","GRC","2010",15.07
"160","Guatemala","GTM","2000",18.82
"161","Guatemala","GTM","2006",5.34
"162","Guatemala","GTM","2011",5.71
"163","Guatemala","GTM","2014",0.68
"164","Haiti","HTI","2001",16.04
"165","Honduras","HND","1997",17.76
"166","Honduras","HND","1998",26.39
"167","Honduras","HND","1999",17.65
"168","Honduras","HND","2001",4.83
"169","Honduras","HND","2002",-3.13
"170","Honduras","HND","2003",-0.45
"171","Honduras","HND","2004",0.91
"172","Honduras","HND","2005",-23.18
"173","Honduras","HND","2006",-10.08
"174","Honduras","HND","2007",0
"175","Honduras","HND","2008",9.79
"176","Honduras","HND","2009",-10.78
"177","Honduras","HND","2010",-8.55
"178","Honduras","HND","2012",-15.76
"179","Honduras","HND","2013",-4.37
"180","Honduras","HND","2014",-15.05
"181","Hungary","HUN","2014",15.12
"182","Iceland","ISL","2014",16.55
"183","Ireland","IRL","2002",14.92
"184","Ireland","IRL","2006",17.22
"185","Ireland","IRL","2010",13.87
"186","Ireland","IRL","2014",13.93
"187","Israel","ISR","2014",15.52
"188","Israel","ISR","2015",15.1
"189","Italy","ITA","2002",18.9
"190","Italy","ITA","2006",4.29
"191","Italy","ITA","2010",5.26
"192","Italy","ITA","2014",6.12
"193","Jamaica","JAM","1999",6.67
"194","Jamaica","JAM","2001",6.9
"195","Jamaica","JAM","2002",15.33
"196","Latvia","LVA","2014",17.38
"197","Lithuania","LTU","2014",13.29
"198","Luxembourg","LUX","2002",18.95
"199","Luxembourg","LUX","2006",10.68
"200","Luxembourg","LUX","2010",8.7
"201","Luxembourg","LUX","2014",5.38
"202","Malaysia","MYS","2011",-0.86
"203","Malaysia","MYS","2012",-2.57
"204","Malaysia","MYS","2013",-3.19
"205","Malaysia","MYS","2014",-1.43
"206","Malaysia","MYS","2015",-2.25
"207","Malta","MLT","2010",7.23
"208","Malta","MLT","2014",10.19
"209","Mexico","MEX","1998",16.37
"210","Mexico","MEX","2000",23.87
"211","Mexico","MEX","2002",12.5
"212","Mexico","MEX","2008",13.39
"213","Mexico","MEX","2010",3.13
"214","Mexico","MEX","2012",13.98
"215","Mexico","MEX","2014",6.65
"216","Montenegro","MNE","2014",7.78
"217","Netherlands","NLD","2002",18.78
"218","Netherlands","NLD","2006",23.65
"219","Netherlands","NLD","2010",17.45
"220","Netherlands","NLD","2014",16.07
"221","Nicaragua","NIC","1998",19.59
"222","Nicaragua","NIC","2001",2.96
"223","Nicaragua","NIC","2005",9.93
"224","Nicaragua","NIC","2009",2.04
"225","Nicaragua","NIC","2014",2.62
"226","North Macedonia","MKD","2014",9.15
"227","Norway","NOR","2014",14.45
"228","Pakistan","PAK","2016",10.81
"229","Panama","PAN","1997",16
"230","Panama","PAN","1998",10.34
"231","Panama","PAN","1999",7.69
"232","Panama","PAN","2000",3.45
"233","Panama","PAN","2001",0
"234","Panama","PAN","2002",0
"235","Panama","PAN","2003",0
"236","Panama","PAN","2004",0
"237","Panama","PAN","2005",0
"238","Panama","PAN","2006",0
"239","Panama","PAN","2007",0
"240","Panama","PAN","2008",0
"241","Panama","PAN","2009",0
"242","Panama","PAN","2010",0
"243","Panama","PAN","2011",-2.86
"244","Panama","PAN","2012",2.44
"245","Panama","PAN","2013",-2.44
"246","Panama","PAN","2014",4.44
"247","Paraguay","PRY","1997",0.95
"248","Paraguay","PRY","1999",8.56
"249","Paraguay","PRY","2001",8.99
"250","Paraguay","PRY","2002",28.24
"251","Paraguay","PRY","2003",-0.81
"252","Paraguay","PRY","2004",5.47
"253","Paraguay","PRY","2005",12.74
"254","Paraguay","PRY","2006",15.99
"255","Paraguay","PRY","2007",9.58
"256","Paraguay","PRY","2008",5.99
"257","Paraguay","PRY","2009",9.49
"258","Paraguay","PRY","2010",-1.56
"259","Paraguay","PRY","2011",6.91
"260","Paraguay","PRY","2012",7.32
"261","Paraguay","PRY","2013",10.62
"262","Paraguay","PRY","2014",5.41
"263","Paraguay","PRY","2015",-1.77
"264","Peru","PER","1997",20
"265","Peru","PER","1998",21.43
"266","Peru","PER","1999",12.2
"267","Peru","PER","2000",25.64
"268","Peru","PER","2001",15
"269","Peru","PER","2002",11.9
"270","Peru","PER","2003",18.6
"271","Peru","PER","2004",22.5
"272","Peru","PER","2005",15.38
"273","Peru","PER","2006",20.45
"274","Peru","PER","2007",16.33
"275","Peru","PER","2008",20.37
"276","Peru","PER","2009",18.97
"277","Peru","PER","2010",23.81
"278","Peru","PER","2011",22.06
"279","Peru","PER","2012",25.33
"280","Peru","PER","2013",21.33
"281","Peru","PER","2014",20.51
"282","Poland","POL","2014",7.73
"283","Portugal","PRT","2007",10.65
"284","Portugal","PRT","2008",11.74
"285","Portugal","PRT","2009",9.67
"286","Portugal","PRT","2010",7.64
"287","Portugal","PRT","2011",9.58
"288","Portugal","PRT","2012",8.8
"289","Portugal","PRT","2013",10.34
"290","Portugal","PRT","2015",9.59
"291","Portugal","PRT","2016",8.54
"292","Romania","ROU","2014",4.5
"293","Romania","ROU","2016",6.61
"294","Russia","RUS","2015",24.42
"295","Serbia","SRB","2014",8.72
"296","Slovakia","SVK","2010",19.66
"297","Slovakia","SVK","2014",19.66
"298","Slovakia","SVK","2015",19.1
"299","Slovenia","SVN","2010",0.66
"300","Slovenia","SVN","2014",7
"301","South Korea","KOR","2009",35.09
"302","South Korea","KOR","2010",34.27
"303","South Korea","KOR","2011",33.58
"304","South Korea","KOR","2012",32.69
"305","South Korea","KOR","2013",32.94
"306","South Korea","KOR","2014",33.8
"307","South Korea","KOR","2015",34.67
"308","South Korea","KOR","2016",33.59
"309","Spain","ESP","2002",20.22
"310","Spain","ESP","2006",17.9
"311","Spain","ESP","2010",16.25
"312","Spain","ESP","2012",18.75
"313","Spain","ESP","2013",18.75
"314","Spain","ESP","2014",12.5
"315","Spain","ESP","2015",12.5
"316","Suriname","SUR","1999",6.18
"317","Sweden","SWE","2014",13.85
"318","Switzerland","CHE","2014",17.38
"319","Thailand","THA","2016",-21.57
"320","Turkey","TUR","2014",-1.26
"321","United Kingdom","GBR","2014",20.91
"322","United Kingdom","GBR","2015",20.59
"323","Uruguay","URY","1997",13.29
"324","Uruguay","URY","1998",14.68
"325","Uruguay","URY","2000",9.66
"326","Uruguay","URY","2001",10.1
"327","Uruguay","URY","2002",7.4
"328","Uruguay","URY","2003",13.19
"329","Uruguay","URY","2004",9.31
"330","Uruguay","URY","2005",11.13
"331","Uruguay","URY","2006",11.71
"332","Uruguay","URY","2007",11.02
"333","Uruguay","URY","2008",15.54
"334","Uruguay","URY","2009",15.46
"335","Uruguay","URY","2010",12.94
"336","Uruguay","URY","2011",9.19
"337","Uruguay","URY","2012",8.59
"338","Uruguay","URY","2013",10.01
"339","Uruguay","URY","2014",8.62
"340","Venezuela","VEN","1997",10.72
"341","Venezuela","VEN","1998",15.87
"342","Venezuela","VEN","1999",6.11
"343","Venezuela","VEN","2000",-3.75
"344","Venezuela","VEN","2001",2.39
"345","Venezuela","VEN","2002",1.9
"346","Venezuela","VEN","2003",0.3
"347","Venezuela","VEN","2004",0.77
"348","Venezuela","VEN","2005",5.1
"349","Venezuela","VEN","2006",6.43
"350","Vietnam","VNM","2015",7.69
"351","Vietnam","VNM","2016",10.71
