"","country","code","year","lib_moral_religion_indicators","lib_moral_bioethical_indicators","lib_moral_drugs_indicators","lib_moral_sexuality_indicators","lib_moral_gender_indicators"
"1","Portugal","PRT","2022",93.38,94.38,98.13,100,90
"2","Netherlands, The","NLD","2022",93.38,95,97.59,97.5,90
"3","Belgium","BEL","2022",94.25,95,73.58,97.5,90
"4","Uruguay","URY","2022",97.13,78.75,88.08,100,86
"5","Canada","CAN","2022",99.57,95,94.65,65,88
"6","Luxembourg","LUX","2022",93.38,80,73.43,97.5,90
"7","Spain","ESP","2022",93.38,75,76.89,97.5,90
"8","Australia","AUS","2022",98.41,94.38,72.45,77.5,90
"9","Switzerland","CHE","2022",93.38,75,77.54,97.5,88
"10","Austria","AUT","2022",88.63,68.75,73.53,100,90
"11","Italy","ITA","2022",93.08,68.75,92.49,100,65
"12","Germany","DEU","2022",93.08,75,60.85,100,90
"13","Colombia","COL","2022",92.21,63.75,75.06,100,86
"14","New Zealand","NZL","2022",97.13,95,36.99,97.5,90
"15","Denmark","DNK","2022",87.75,88.75,39.06,100,92
"16","Czech Republic","CZE","2022",89.63,67.5,97.05,100,52.5
"17","Mexico","MEX","2022",82.25,67.5,96.06,70,88
"18","South Africa","ZAF","2022",96.25,82.5,88.38,45,86
"19","Slovenia","SVN","2022",92.38,68.75,56.47,100,73.5
"20","Croatia","HRV","2022",92.38,62.5,73.82,65,84
"21","Finland","FIN","2022",92.38,37.5,56.71,97.5,90
"22","Chile","CHL","2022",90.5,26.88,71.52,100,82
"23","Estonia","EST","2022",93.66,62.5,37.2,100,75.5
"24","Argentina","ARG","2022",88.17,26.88,71.55,82.5,95
"25","Brazil","BRA","2022",86.29,30.63,56.03,100,90
"26","Greece","GRC","2022",84.88,88.75,38.58,100,50.5
"27","United States of America","USA","2022",97.12,90.63,65.18,21.25,88
"28","Malta","MLT","2022",91.38,0,83.54,97.5,88
"29","Norway","NOR","2022",93.38,68.75,42.85,62.5,92
"30","Israel","ISR","2022",77.38,65.63,71.49,65,75
"31","Ireland","IRL","2022",92.38,68.75,38.82,58.75,92
"32","France","FRA","2022",83.7,68.75,36.93,65,90
"33","United Kingdom","GBR","2022",93.08,52.5,41.65,60,90
"34","Sweden","SWE","2022",93.38,68.75,20.09,65,90
"35","Iceland","ISL","2022",94.24,62.5,21.95,65,90
"36","Peru","PER","2022",90.5,36.25,76.83,100,30
"37","Cyprus","CYP","2022",75.5,87.5,38.71,93.75,37.5
"38","Georgia","GEO","2022",76.2,87.5,71.07,62.5,34
"39","Macedonia","MKD","2022",86.75,67.5,55.25,75,42.5
"40","Costa Rica","CRI","2022",74.5,31.25,34.39,100,80
"41","San Marino","SMR","2022",92.38,46.88,39.91,65,75.5
"42","Ecuador","ECU","2022",76.34,36.25,71.51,100,34
"43","Hungary","HUN","2022",76.34,88.75,19.91,100,32
"44","Latvia","LVA","2022",93.38,67.5,19.76,97.5,38
"45","Bulgaria","BGR","2022",77.38,62.5,20.63,100,54.75
"46","Slovakia","SVK","2022",86.75,67.5,19.58,100,38
"47","Jamaica","JAM","2022",96.13,31.25,90.43,62.5,30
"48","Bolivia","BOL","2022",86.75,36.25,39.13,100,40
"49","Bosnia and Herzegovina","BIH","2022",86.75,67.5,21.41,82.5,38
"50","Lithuania","LTU","2022",93.38,67.5,36.69,62.5,34
"51","Poland","POL","2022",75.5,20.63,54.58,100,36
"52","Saint Vincent and the Grenadines","VCT","2022",96.13,31.25,68.61,65,25
"53","Andorra","AND","2022",88.75,15.63,21.54,65,92
"54","Montenegro","MNE","2022",92.38,62.5,19.76,65,38
"55","Panama","PAN","2022",94.25,31.25,16.49,100,34
"56","Romania","ROU","2022",82.13,67.5,20.9,65,40
"57","Paraguay","PRY","2022",84.88,20.63,37.02,100,30
"58","Moldova","MDA","2022",76.38,62.5,54.59,42.5,34
"59","Albania","ALB","2022",92.38,62.5,19.85,65,30
"60","Trinidad and Tobago","TTO","2022",96.13,15.63,66.87,65,25
"61","Korea, South","KOR","2022",91.05,73.75,38.37,25,40
"62","Japan","JPN","2022",92.5,47.5,23.42,63.75,38
"63","Honduras","HND","2022",83.88,15.63,19.07,100,42.5
"64","Botswana","BWA","2022",98,31.25,19.38,70,41.5
"65","Mozambique","MOZ","2022",77.38,31.25,21.56,97.5,30
"66","Singapore","SGP","2022",65.22,72.5,12.02,77.5,30
"67","Serbia","SRB","2022",75.5,62.5,20.16,65,34
"68","Guinea-Bissau","GNB","2022",95.13,15.63,22.35,97.5,25
"69","Ukraine","UKR","2022",73.01,87.5,37.78,22.5,33
"70","Mongolia","MNG","2022",77.38,62.5,20.85,62.5,30
"71","Ghana","GHA","2022",95.13,31.25,39.22,62.5,25
"72","Mali","MLI","2022",78.25,31.25,22.01,100,20
"73","Senegal","SEN","2022",96.13,15.63,21.48,88.75,25
"74","India","IND","2022",72.59,57.5,35.74,47.5,33
"75","Kenya","KEN","2022",77.5,51.25,20.97,70,25
"76","Armenia","ARM","2022",77.79,87.5,21.36,22.5,34
"77","Tajikistan","TJK","2022",43.63,67.5,16.94,80,34
"78","Tunisia","TUN","2022",70.29,62.5,19.58,58.75,30
"79","Philippines, The","PHL","2022",65.96,62.5,41.07,45,25
"80","Madagascar","MDG","2022",77.38,15.63,21.11,100,25
"81","Guatemala","GTM","2022",83.88,15.63,20.36,87.5,30
"82","Kazakhstan","KAZ","2022",38.82,87.5,16.41,60,34
"83","Monaco","MCO","2022",60.5,31.25,21.26,82.5,38
"84","Kyrgyzstan","KGZ","2022",42.88,62.5,16.34,77.5,34
"85","Saint Lucia","LCA","2022",96.13,31.25,18.3,62.5,25
"86","Liberia","LBR","2022",96.13,31.25,21.75,52.5,30
"87","Ivory Coast","CIV","2022",91.38,15.63,21.27,70,30
"88","Russia","RUS","2022",46.32,87.5,17.06,42.5,34
"89","Lebanon","LBN","2022",76.05,15.63,37.84,67.5,29
"90","Angola","AGO","2022",79.95,15.63,21.11,65,42.5
"91","Suriname","SUR","2022",96.13,15.63,19.76,62.5,30
"92","Cambodia","KHM","2022",53.97,77.5,36.7,25,30
"93","Malawi","MWI","2022",86,15.63,38.86,62.5,20
"94","Tonga","TON","2022",74.5,15.63,20.01,82.5,30
"95","Solomon Islands","SLB","2022",96.13,15.63,21.33,62.5,25
"96","Belarus","BLR","2022",54.4,87.5,17.36,22.5,38
"97","Guinea","GIN","2022",76.38,31.25,22.08,65,25
"98","Nepal","NPL","2022",62.38,62.5,38.82,22.5,33
"99","Bahamas, The","BHS","2022",79.25,31.25,15.87,62.5,30
"100","Gambia, The","GMB","2022",87.3,31.25,22.04,52.5,25
"101","Venezuela","VEN","2022",71.56,20.63,16.08,77.5,32
"102","Cuba","CUB","2022",49.78,62.5,14.85,57.5,33
"103","Nicaragua","NIC","2022",70.75,0,17.52,97.5,30
"104","Thailand","THA","2022",40.69,77.5,22.29,45,28
"105","Ethiopia","ETH","2022",69.11,31.25,20.6,67.5,25
"106","Seychelles","SYC","2022",75.5,31.25,16.28,65,25
"107","Laos","LAO","2022",67,51.25,38.05,25,30
"108","Turkey","TUR","2022",31.32,62.5,31.39,47.5,38
"109","El Salvador","SLV","2022",83.88,0,13.65,82.5,30
"110","Guyana","GUY","2022",77.38,62.5,18.24,22.5,25
"111","Haiti","HTI","2022",96.13,15.63,21.3,52.5,20
"112","Mauritius","MUS","2022",96.13,15.63,19.46,42.5,30
"113","Azerbaijan","AZE","2022",43.73,67.5,15.23,42.5,34
"114","Dominica","DMA","2022",96.13,15.63,18.17,42.5,25
"115","Nigeria","NGA","2022",67.54,36.25,21.96,52.5,18
"116","Zimbabwe","ZWE","2022",73.01,31.25,38.29,22.5,30
"117","Tuvalu","TUV","2022",84.88,15.63,20.85,42.5,30
"118","Dominican Republic","DOM","2022",95.13,0,18.95,47.5,30
"119","Vietnam","VNM","2022",37.66,82.5,16.83,22.5,30
"120","Cameroon","CMR","2022",77.38,31.25,20.64,40,20
"121","China","CHN","2022",38.08,62.5,20.7,25,38
"122","Uzbekistan","UZB","2022",44.15,62.5,16.5,22.5,38
"123","Comoros","COM","2022",21.75,31.25,18.35,65,45
"124","Eswatini","SWZ","2022",76.38,31.25,18.63,22.5,30
"125","Korea, North","PRK","2022",37.5,62.5,28.75,25,25
"126","Papua New Guinea","PNG","2022",96.13,15.63,21.57,18.75,25
"127","Rwanda","RWA","2022",69.11,31.25,14.84,32.5,25
"128","Sri Lanka","LKA","2022",60.76,15.63,38.43,22.5,34
"129","Central African Republic","CAF","2022",20.88,15.63,18.51,87.5,25
"130","Bangladesh","BGD","2022",31.18,15.63,35.47,60,24
"131","Equatorial Guinea","GNQ","2022",74.5,31.25,21.56,12.5,25
"132","Malaysia","MYS","2022",67.97,31.25,19.05,30,15
"133","Algeria","DZA","2022",13.38,31.25,20.24,77.5,20
"134","Uganda","UGA","2022",76.05,31.25,16.89,12.5,25
"135","Morocco","MAR","2022",29.46,31.25,32.7,32.5,25
"136","Myanmar","MMR","2022",12.14,15.63,33.69,62.5,25
"137","Jordan","JOR","2022",29.6,31.25,19.53,62.5,5
"138","Indonesia","IDN","2022",20.51,31.25,17.27,42.5,24
"139","Turkmenistan","TKM","2022",5,67.5,10.47,22.5,29
"140","Djibouti","DJI","2022",26.5,15.63,14.01,52.5,25
"141","Eritrea","ERI","2022",20.13,31.25,11.25,38.75,25
"142","Mauritania","MRT","2022",3,15.63,21.71,52.5,20
"143","Egypt","EGY","2022",12.57,15.63,17.01,52.5,15
"144","Pakistan","PAK","2022",15.31,31.25,39.43,0,25
"145","Bahrain","BHR","2022",15,67.5,15.24,0,10
"146","Qatar","QAT","2022",31.88,31.25,21.71,12.5,5
"147","Iraq","IRQ","2022",9.63,15.63,16.86,52.5,5
"148","Syria","SYR","2022",30.45,15.63,17.85,25,10
"149","Somalia","SOM","2022",35,15.63,11.25,12.5,20
"150","Maldives","MDV","2022",25.75,31.25,15.02,0,20
"151","Libya","LBY","2022",18.21,31.25,20.42,0,20
"152","Kuwait","KWT","2022",21.88,31.25,17,0,10
"153","Oman","OMN","2022",24.38,31.25,18.21,0,5
"154","Iran","IRN","2022",7.08,20.63,31.84,0,18
"155","Sudan","SDN","2022",3.48,31.25,14.22,25,0
"156","Brunei","BRN","2022",12.38,15.63,10.4,22.5,10
"157","Saudi Arabia","SAU","2022",8.53,31.25,4.55,0,20
"158","United Arab Emirates","ARE","2022",8.53,15.63,17.19,0,10
"159","Yemen","YEM","2022",12.38,15.63,17.96,0,5
"160","Afghanistan","AFG","2022",12.38,15.63,9.95,0,10
